tokens,ner_labels,pos_labels
"['ini', 'siapa', 'yang', 'pagi', 'pagi', 'udah', 'ngegalau', 'di', 'base']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PR', 'WH', 'SC', 'NN', 'NN', 'RB', 'VB', 'IN', 'NN']"
"['muka', 'senja', 'gue', 'ilang', 'udah']","['O', 'O', 'O', 'O', 'O']","['NN', 'NN', 'PRP', 'VB', 'MD']"
"['hallo', 'selamat', 'pagi', 'apakah', 'pagi', 'harimu', 'sudah', 'di', 'awali', 'dengan', 'sambat', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['UH', 'JJ', 'NN', 'WH', 'NN', 'NN', 'MD', 'IN', 'VB', 'IN', 'NN', 'Z']"
"['kangen', 'banget', 'jujur']","['O', 'O', 'O']","['VB', 'RB', 'JJ']"
"['pagi', 'pagi', 'udah', 'sakit', 'hati']","['O', 'O', 'O', 'O', 'O']","['NN', 'NN', 'RB', 'JJ', 'NN']"
"['jumat', 'mubarok', 'full', 'senyum']","['O', 'O', 'O', 'O']","['NNP', 'FW', 'JJ', 'NN']"
"['selamat', 'pagi', 'euy', '!', 'ada', 'yang', 'ngerti', 'maksudnya', 'enggak', '?', 'asa', 'jero', 'kieu', 'menurut', 'aku', 'mah', '..', '*', 'dari', 'trending']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['JJ', 'NN', 'UH', 'Z', 'VB', 'SC', 'VB', 'NN', 'NEG', 'Z', 'FW', 'FW', 'FW', 'IN', 'PRP', 'RP', 'Z', 'SYM', 'IN', 'NN']"
"['enggak', 'screenshot', 'juga', 'anying']","['O', 'O', 'O', 'O']","['NEG', 'NN', 'RB', 'UH']"
"['4', 'cara', 'cek', 'nomor', 'indosat', 'untuk', 'yang', 'lupa', 'nomor', 'sendiri', 'praktis', '!']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['CD', 'NN', 'VB', 'NN', 'NNP', 'IN', 'SC', 'VB', 'NN', 'NN', 'JJ', 'Z']"
"['semangat', 'pagi', 'jeci', '@c_jessijkt48', 'see', 'you', '..']","['O', 'O', 'B-PERSON', 'B-PERSON', 'O', 'O', 'O']","['NN', 'NN', 'NNP', 'NNP', 'VB', 'PRP', 'Z']"
"['narutofans_indo', '[', 'help', 'retweet', ']', 'roleplay', 'untuk', 'semua', 'artis', 'didunia', '^', '^', 'wanna', 'book', '?', 'mention', ';)', 'rules', '?', 'avatar', '^', '^']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NNP', 'Z', 'VB', 'VB', 'Z', 'NN', 'IN', 'DT', 'NN', 'IN', 'SYM', 'SYM', 'VB', 'VB', 'Z', 'VB', 'SYM', 'NN', 'Z', 'NN', 'SYM', 'SYM']"
"['studio', 'choom', 'bisa', 'bicara', 'sebentar', 'enggak']","['B-ORG', 'I-ORG', 'O', 'O', 'O', 'O']","['NNP', 'NNP', 'MD', 'VB', 'RB', 'NEG']"
"['layout', 'gua', 'keren', 'enggak', '?']","['O', 'O', 'O', 'O', 'O']","['NN', 'PRP', 'JJ', 'NEG', 'Z']"
"['baju', 'oversized', 'saat', 'aku', 'yg', 'pake', 'jadinya', 'slim', 'fit']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'JJ', 'NN', 'PRP', 'SC', 'VB', 'VB', 'JJ', 'JJ']"
"['sekolah', 'lagi', 'sekolah', 'lagii']","['O','O', 'O', 'O']","['NN', 'RB', 'NN', 'RB']"
"['aku', 'rasa', 'otak', 'aku', 'belum', 'capai', 'tahap', 'untuk', 'paham', 'alur', 'jalan', 'cerita', 'steinsgate', 'ini', '..', 'rumit', 'anjing', 'nak', 'paham']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRP', 'VB', 'NN', 'PRP', 'NEG', 'VB', 'NN', 'IN', 'VB', 'NN', 'NN', 'NN', 'NNP', 'PR', 'Z', 'JJ', 'UH', 'MD', 'VB']"
"['busettt', 'jam', 'berapa', 'ini', 'ayo', 'kerjaaaa']","['O', 'O', 'O', 'O', 'O', 'O']","['UH', 'NN', 'WH', 'PR', 'UH', 'VB']"
"['salam', 'jumat', 'barakah', 'semoga', 'kita', 'semua', 'selalu', 'dalam', 'keadaan', 'sehat', 'bersyukur', 'dan', 'dilindungi', 'oleh', 'allah', 'swt', '.', 'aamiin', 'ya', 'rabbal', 'aalamin']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O']","['VB', 'NNP', 'NN', 'RB', 'PRP', 'DT', 'RB', 'IN', 'NN', 'JJ', 'VB', 'CC', 'VB', 'IN', 'NNP', 'NNP', 'Z', 'UH', 'UH', 'FW', 'FW']"
"['embun', 'pagi', 'ketika', 'allah', 'swt', 'memberimu', 'nikmat', 'secara', 'finansial', 'jangan', 'tingkatkan', 'standar', 'hidupmu', 'akan', 'tetapi', 'tingkatkan', 'standarmu', 'dalam', 'bersedekah', '.']","['O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'NN', 'SC', 'NNP', 'NNP', 'VB', 'NN', 'IN', 'JJ', 'NEG', 'VB', 'JJ', 'NN', 'VB', 'CC', 'VB', 'NN', 'IN', 'VB', 'Z']"
"['peserta', 'pertama', 'af', '1', 'memangla', 'macam', 'kena', 'korban', 'bunyi', 'nya', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'OD', 'UH', 'CD', 'RB', 'IN', 'NN', 'NN', 'NN', 'PRP', 'Z']"
"['seram', 'banget', 'poor', 'mas', 'samdol']","['O', 'O', 'O', 'O', 'B-PERSON']","['JJ', 'RB', 'JJ', 'NN', 'NNP']"
"['ay', 'lihat', 'ay', '@dessertseja']","['O', 'O', 'O', 'B-PERSON']","['NN', 'VB', 'NN', 'NNP']"
"['kepala', 'pundek', 'betul', '.', 'mentang', '2', 'jalan', 'dua', 'lane', 'ini', 'lebar', 'kau', 'jadikan', '3', 'lane', '.', 'lagi', 'lambat', 'bodo', 'traffic', 'macam', 'ini', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'NN', 'JJ', 'Z', 'RB', 'CD', 'NN', 'CD', 'NN', 'PR', 'JJ', 'PRP', 'VB', 'CD', 'NN', 'Z', 'RB', 'JJ', 'JJ', 'NN', 'IN', 'PR', 'Z']"
"['duh', 'ya', 'allah', 'degdegan', 'bimbingan', 'malam']","['O', 'O', 'O', 'O', 'O', 'O']","['UH', 'UH', 'NNP', 'JJ', 'NN', 'NN']"
"['jam', 'pertama', 'matematika', 'hadeh']","['O', 'O', 'O', 'O']","['NN', 'OD', 'NN', 'UH']"
"['wait', 'what', 'baru', 'bangun']","['O', 'O', 'O', 'O']","['VB', 'WH', 'RB', 'VB']"
"['gerak', 'dikit', 'jompo', 'enggak', 'gerak', 'juga', 'jompo', 'syp', 'itu']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['VB', 'RB', 'JJ', 'NEG', 'VB', 'RB', 'JJ', 'WH', 'PR']"
"['ngomongin', 'privasi', 'di', 'zaman', 'nabi', 'privasinya', 'apa', '?', '?', 'mksutnya', 'yang', 'bentukannya', 'kayak', 'handphone', 'gitu']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['VB', 'NN', 'IN', 'NN', 'NN', 'NN', 'WH', 'Z', 'Z', 'NN', 'SC', 'NN', 'IN', 'NN', 'RB']"
"['nyelundupin', 'kfc', 'ingetnya', 'itu', 'doang', 'sih']","['O', 'B-ORG', 'O', 'O', 'O', 'O']","['VB', 'NNP', 'VB', 'PR', 'RB', 'RP']"
"['/', 'biu', '/', 'minta', 'review', 'nya', 'dong', 'kak', ':)']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Z', 'Z', 'Z', 'VB', 'NN', 'PRP', 'RP', 'NN', 'SYM']"
"['selamat', 'hari', 'keputeraan', 'yang', 'ke', '-', '74', 'kepada', 'duli', 'yang', 'maha', 'mulia', 'yang', 'di-pertuan', 'besar', 'negeri', 'sembilan', 'darul', 'khusus.tuanku', 'muhriz', 'ibni', 'almarhum', 'tuanku', 'munawir', '.', 'semoga', 'allah', 'memberkati', 'pemerintahan', 'ke', 'bawah', 'duli', 'tuanku', '.']","['O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['JJ', 'NNP', 'NNP', 'SC', 'OD', 'Z', 'OD', 'IN', 'NNP', 'SC', 'JJ', 'JJ', 'SC', 'NN', 'JJ', 'NNP', 'NNP', 'NN', 'NN', 'NNP', 'NNP', 'JJ', 'NN', 'NNP', 'Z', 'SC', 'NNP', 'VB', 'NN', 'IN', 'NN', 'NNP', 'NN', 'Z']"
"['pagi', 'all', '!', 'jangan', 'lupa', 'sarapan']","['O', 'O', 'O', 'O', 'O', 'O']","['NN', 'DT', 'Z', 'NEG', 'VB', 'NN']"
"['enggak', 'mau', 'dare']","['O', 'O', 'O']","['NEG', 'MD', 'NN']"
"['bangun', 'pagi', 'rindu', 'seokjin', 'parah', 'cenggini']","['O', 'O', 'O', 'B-PERSON', 'O', 'O']","['VB', 'NN', 'VB', 'NNP', 'JJ', 'FW']"
"['seram', 'banget']","['O', 'O']","['JJ', 'RB']"
"['teh', 'antilemak', '.', 'diminum', 'setiap', 'hari', 'dengan', 'kapsul', 'fatburn', 'nya', '.', 'badan', 'kamu', 'akan', 'ideal', '.', 'pin', ':d', '778b048', 'whatsapp', ':']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'NN', 'Z', 'VB', 'DT', 'NND', 'IN', 'NN', 'NN', 'PRP', 'Z', 'NN', 'PRP', 'MD', 'JJ', 'Z', 'NN', 'Z', 'SYM', 'NN', 'Z']"
"['orang', 'yang', 'ada', 'dengan', 'kita', 'sekarang', 'tak', 'akan', 'selamanya', 'ada', 'dengan', 'kita', '.', 'belajar', 'untuk', 'berdikari', 'hidup', 'dengan', 'kemampuan', 'sendiri', '.', 'yakin', 'dengan', 'potensi', 'diri', '.', 'selebihnya', 'adalah', 'rezeki', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'SC', 'VB', 'IN', 'PRP', 'RB', 'NEG', 'MD', 'RB', 'VB', 'IN', 'PRP', 'Z', 'VB', 'IN', 'VB', 'VB', 'IN', 'NN', 'NN', 'Z', 'VB', 'IN', 'NN', 'NN', 'Z', 'NN', 'VB', 'NN', 'Z']"
"['cuma', 'di', 'game', 'gta', '3', 'claude', 'tidak', 'bisa', 'ganti', 'pakaian', 'dan', 'ini', 'spoiler', 'foto', 'game', 'yang', 'gue', 'record', 'yaitu', 'gta', '3', 'part', '7', 'video', 'ini', 'tayang', 'tanggal', '18', 'februari', '2022', 'ingat', 'misi', 'ini', 'enggak', 'kalau', 'ingat', 'kalian', 'berarti', 'pemain', 'lama', 'gta']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['RB', 'IN', 'NN', 'NNP', 'CD', 'NNP', 'NEG', 'MD', 'VB', 'NN', 'CC', 'PR', 'NN', 'NN', 'NN', 'SC', 'PRP', 'VB', 'SC', 'NNP', 'CD', 'NN', 'CD', 'NN', 'PR', 'VB', 'NN', 'CD', 'NNP', 'CD', 'VB', 'NN', 'PR', 'NEG', 'SC', 'VB', 'PRP', 'VB', 'NN', 'JJ', 'NNP']"
"['jumat', 'malas', 'padahal', 'besok', 'sudah', 'weekend', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","['NNP', 'JJ', 'SC', 'NN', 'RB', 'NN', 'Z']"
"['kenapa', 'orang', 'pada', 'pengen', 'umur', 'panjang']","['O', 'O', 'O', 'O', 'O', 'O']","['WH', 'NN', 'RB', 'MD', 'NN', 'JJ']"
"['merinding', 'banget', 'lihat', 'ateez', 'sudah', 'ke', 'bandara']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O']","['JJ', 'RB', 'VB', 'NNP', 'RB', 'IN', 'NN']"
"['nah', 'buser', 'nya', 'lagi', 'ngambek', '@nicho_silalahi', '@aldobabeh', '@mpraldo']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'B-PERSON', 'B-PERSON']","['UH', 'NN', 'PRP', 'RB', 'VB', 'NNP', 'NNP', 'NNP']"
"['kamu', 'tuh', 'nyebelin', 'tapi', 'ngangenin', ':)']","['O', 'O', 'O', 'O', 'O', 'O']","['PRP', 'RP', 'JJ', 'CC', 'JJ', 'SYM']"
"['kebhinekaan', 'kekayaan', 'alam', 'itu', 'sih', 'ciptaaan', 'tuhan', 'perlu', 'di', 'syukuri', '.', 'tapi', 'persatuan', '&', 'bagaimana', 'kekeyaan', 'alam', 'di', 'nikamti', 'secara', 'adil', 'merata', 'itu', 'upaya', 'perlu', 'ihktar', '.', 'pertanyaanya', 'apakah', 'sekarang', 'kita', 'lebih', 'bersatu', 'atau', 'lebih', 'maksmur', 'adil', 'dalam', 'menikmat', 'sda', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'NN', 'NN', 'PR', 'RP', 'NN', 'NNP', 'MD', 'IN', 'VB', 'Z', 'CC', 'NN', 'SYM', 'WH', 'NN', 'NN', 'IN', 'VB', 'IN', 'JJ', 'VB', 'PR', 'NN', 'MD', 'NN', 'Z', 'NN', 'WH', 'RB', 'PRP', 'RB', 'VB', 'CC', 'RB', 'JJ', 'JJ', 'IN', 'VB', 'NN', 'Z']"
"['bisa', 'bantu', 'promote', 'siapa', 'saja', '?', '^', '^']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['MD', 'VB', 'VB', 'WH', 'RB', 'Z', 'SYM', 'SYM']"
"['anak', 'freak']","['O', 'O']","['NN', 'JJ']"
"['aaa', 'sakit', 'dada', 'xhabis', 'lagi', 'dari', 'semalam']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","['UH', 'JJ', 'NN', 'VB', 'RB', 'IN', 'NN']"
"['rumah', 'kalian', 'mendung', 'enggak', '?', '?']","['O', 'O', 'O', 'O', 'O', 'O']","['NN', 'PRP', 'JJ', 'NEG', 'Z', 'Z']"
"['basic', 'shirt', 'gemas', 'banget', 'enggak', 'sih', 'warnanya', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['JJ', 'NN', 'JJ', 'RB', 'NEG', 'RP', 'NN', 'Z']"
"['nct', 'pengangguran', 'era']","['B-ORG', 'O', 'O']","['NNP', 'NN', 'NN']"
"['mode', 'otomatis', 'dimatikan', 'anda', 'sekarang', 'bernafas', 'dalam', 'mode', 'manual']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'JJ', 'VB', 'PRP', 'RB', 'VB', 'IN', 'NN', 'JJ']"
"['bae', 'seungmin', 'is', '2m', '!']","['B-PERSON', 'I-PERSON', 'O', 'O', 'O']","['NNP', 'NNP', 'VB', 'CD', 'Z']"
"['keberhasilan', 'kita', 'di', 'masa', 'depan', 'lebih', 'penting', 'daripada', 'kepedihan', 'kita', 'di', 'masa', 'lalu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['NN', 'PRP', 'IN', 'NN', 'NN', 'RB', 'JJ', 'IN', 'NN', 'PRP', 'IN', 'NN', 'NN', 'Z']"
"['ya', 'allah', 'seram']","['O', 'O', 'O']","['UH', 'NNP', 'JJ']"
"['halo', 'guys', 'aku', 'normal', 'enggak']","['O', 'O', 'O', 'O', 'O']","['UH', 'NN', 'PRP', 'JJ', 'NEG']"
"['kau', 'tidak', 'perlu', 'memaafkanku', 'apapun', 'yang', 'kau', 'lakukan', 'aku', 'akan', 'tetap', 'menyayangimu', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['PRP', 'NEG', 'MD', 'VB', 'DT', 'SC', 'PRP', 'VB', 'PRP', 'MD', 'RB', 'VB', 'Z']"
"['aku', 'ptm', 'dulu', 'guys', 'bye']","['O', 'O', 'O', 'O', 'O']","['PRP', 'VB', 'RB', 'NN', 'UH']"
"['anjing', 'rame', 'banget', '?', '?', '?']","['O', 'O', 'O', 'O', 'O', 'O']","['UH', 'JJ', 'RB', 'Z', 'Z', 'Z']"
"['bersama', 'melangkah']","['O', 'O']","['RB', 'VB']"
"['bismillah', 'jumat', 'berkah', '️️']","['O', 'O', 'O', 'O']","['UH', 'NNP', 'NN', 'SYM']"
"['ya', 'allah', 'kalo', 'wita', 'jadinya', '00:30']","['O', 'B-PERSON', 'O', 'O', 'O', 'O']","['UH', 'NNP', 'SC', 'NN', 'VB', 'CD']"
"['sunghoon', 'enggak', 'dateng', 'sendiri', 'dia', 'dateng', 'sama', 'keluarganya', 'enhypen', '️']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']","['NNP', 'NEG', 'VB', 'JJ', 'PRP', 'VB', 'IN', 'NN', 'NNP', 'SYM']"
"['bagus', 'kak', 'jenn', 'wkwkwkkwkw', 'lumayan', 'libur', 'sehariii']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O']","['JJ', 'NN', 'NNP', 'UH', 'JJ', 'VB', 'NN']"
"['pengen', 'nginjek', 'mulut', 'provokator', 'yang', 'kayak', 'gini', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['MD', 'VB', 'NN', 'NN', 'SC', 'IN', 'PR', 'Z']"
"['loh', 'baru', 'tau', 'picknava', 'deactivate']","['O', 'O', 'O', 'O', 'O']","['RP', 'RB', 'VB', 'NNP', 'VB']"
"['udah', 'mandi', 'belum', '?']","['O', 'O', 'O', 'O']","['RB', 'VB', 'NEG', 'Z']"
"['pup', 'sambil', 'bawa', 'hape', 'untuk', 'memulai', 'hari', 'adalah', 'hal', 'yang', 'harus', 'disyukuri']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['VB', 'SC', 'VB', 'NN', 'IN', 'VB', 'NN', 'VB', 'NN', 'SC', 'MD', 'VB']"
"['omg', 'harus', 'beli', 'segera', 'nih', 'soalnya', 'murah', 'banget', 'handphone', 'cuma', 'sejutaan', 'saja', 'tapi', 'udah', 'canggih', '2', 'fiturnya']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['UH', 'MD', 'VB', 'RB', 'RP', 'SC', 'JJ', 'RB', 'NN', 'RB', 'CD', 'RB', 'CC', 'MD', 'JJ', 'CD', 'NN']"
"['bunda', 'kok', 'sekarang', 'bumi', 'enggak', 'pernah', 'makan', 'bakso', '?', 'bumi', 'pengen', 'bakso', 'yang', 'di', 'mall', 'baru', 'nyadar', 'dia', 'sekarang', 'enggak', 'pernah', 'makan', 'bakso', 'sabar', 'ya', 'bumii', '...', 'tunggu', 'bunda', 'dapat', 'rejeki', 'nanti', 'kita', 'jalan', 'demi', 'bumi', 'sehat', 'juga', 'kurangi', 'makan', 'bakso']","['O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O']","['NN', 'RP', 'RB', 'NNP', 'NEG', 'RB', 'VB', 'NN', 'Z', 'NNP', 'MD', 'NN', 'SC', 'IN', 'NN', 'RB', 'VB', 'PRP', 'RB', 'NEG', 'RB', 'VB', 'NN', 'VB', 'RP', 'NNP', 'Z', 'VB', 'NN', 'VB', 'NN', 'RB', 'PRP', 'VB', 'IN', 'NNP', 'JJ', 'RB', 'VB', 'VB', 'NN']"
"['mengsedeh', 'enggak', 'seh']","['O', 'O', 'O']","['VB', 'NEG', 'RP']"
